Entry	Protein names	Gene names	Length	Region
Q12414	Transposon Ty1-PL Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-PL YPLWTy1-1 POL YPL257W-B P0729	1755	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..174;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..421;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 583..640;  /note="Integrase-type zinc finger-like"; REGION 956..1087;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1092..1111;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1130..1187;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q3E732	Putative uncharacterized protein YLR264C-A	YLR264C-A	38	
P0CE69	Putative uncharacterized protein YKR104W	YKR104W	306	
Q3E795	Uncharacterized protein YLR361C-A	YLR361C-A	98	REGION 58..98;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40021	Zinc-regulated protein 8	ZRG8 YER033C	1076	REGION 1..66;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 85..162;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 190..223;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 234..253;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 357..450;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 534..557;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 566..585;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 658..701;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 713..762;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 909..931;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1000..1020;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1042..1076;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38336	RNases MRP/P 32.9 kDa subunit (RNA-processing protein POP4)	POP4 YBR257W YBR1725	279	
P34227	Peroxiredoxin PRX1, mitochondrial (Prx) (EC 1.11.1.25) (EC 1.11.1.27) (1-Cys PRX) (Glutaredoxin-dependent peroxiredoxin) (Glutathione-dependent peroxiredoxin) (Mitochondrial thiol peroxidase) (mTPx) (Thioredoxin peroxidase)	PRX1 YBL064C YBL0503 YBL0524	261	
Q12461	Serine/threonine-protein phosphatase 2A activator 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-2) (PPIase PTPA-2) (Rotamase PTPA-2) (Phosphotyrosyl phosphatase activator 2)	RRD2 NOH1 YPA2 YPL152W	358	
Q07949	Probable phosphatase PSR2 (EC 3.1.3.-) (Plasma membrane sodium response protein 2)	PSR2 YLR019W	397	REGION 13..117;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02931	NET1-associated nuclear protein 1 (U three protein 17) (t-17) (U3 protein 17 required for transcription) (U3 small nucleolar RNA-associated protein 17) (U3 snoRNA-associated protein 17)	NAN1 UTP17 YPL126W	896	
P33339	Transcription factor tau 131 kDa subunit (TFIIIC 131 kDa subunit) (Transcription factor C subunit 4)	TFC4 PCF1 YGR047C	1025	REGION 1..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 128..569;  /note="Sufficient to bind BDP1"; REGION 309..334;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38085	Valine/tyrosine/tryptophan amino-acid permease 1 (Tyrosine and tryptophan amino acid transporter 1)	TAT1 TAP1 VAP1 YBR069C YBR0710	619	REGION 1..57;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33315	Transketolase 2 (TK 2) (EC 2.2.1.1)	TKL2 YBR117C YBR0912	681	
P89886	Translation machinery-associated protein 20	TMA20 YER007C-A	181	
Q06266	Protein TOS4 (Target of SBF protein 4)	TOS4 YLR183C L94705.22	489	REGION 1..101;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 316..366;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P50623	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (Ubiquitin carrier protein 9) (Ubiquitin-conjugating enzyme E2-18 kDa) (Ubiquitin-protein ligase)	UBC9 YDL064W	157	
P41834	Syntaxin UFE1	UFE1 YOR075W YOR29-26	346	
Q12241	Syntaxin VAM3 (Vacuolar morphogenesis protein 3)	VAM3 PTH1 YOR106W YOR3220W	283	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 116..146;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 162..182;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q8TGJ7	Uncharacterized protein YLL066W-B	YLL066W-B	56	REGION 21..40;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P22147	5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175)	XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645	1528	REGION 1246..1331;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1431..1455;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1470..1528;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33301	DNA repair protein XRS2	XRS2 YDR369C D9481.13	854	REGION 429..455;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 807..854;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02792	5'-3' exoribonuclease 2 (EC 3.1.13.-) (Ribonucleic acid-trafficking protein 1) (p116)	RAT1 HKE1 TAP1 YOR048C	1006	REGION 492..529;  /note="Required for retention in the nucleus"; REGION 561..584;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 939..1006;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 955..999;  /note="2 X 4 AA repeats of S-R-Y-D, N-N-N-Y, Y-S-G-N"
P36137	Protein UIP5 (ULP1-interacting protein 5)	UIP5 YKR044W	443	
Q06682	UBX domain-containing protein 5	UBX5 YDR330W	500	REGION 50..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 142..169;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 371..399;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P00899	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	TRP2 YER090W	507	REGION 280..282;  /note="Tryptophan binding";  /evidence="ECO:0000250|UniProtKB:P00897"; REGION 316..317;  /note="Chorismate binding";  /evidence="ECO:0000250|UniProtKB:P00897"; REGION 466..468;  /note="Chorismate binding";  /evidence="ECO:0000250|UniProtKB:P00897"
P25572	Putative uncharacterized protein YCL042W	YCL042W YCL42W	119	REGION 55..119;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40575	Uncharacterized protein YIR020C	YIR020C	100	
P25577	Uncharacterized protein YCL049C	YCL049C YCL49C	312	
P15731	Ubiquitin-conjugating enzyme E2 4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 4) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)	UBC4 YBR082C YBR0745	148	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06708	Vacuole morphology and inheritance protein 14 (Swollen vacuole phenotype 2 protein)	VAC14 SVP2 YLR386W L3502.1	880	REGION 333..373;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 850..880;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38735	ABC transporter ATP-binding protein/permease VMR1 (Vacuolar multidrug resistance protein 1)	VMR1 YHL035C	1592	
P53142	Vacuolar protein sorting-associated protein 73	VPS73 YGL104C G3090	486	
P40343	Vacuolar protein sorting-associated protein 27 (Golgi retention defective protein 11)	VPS27 DID7 GRD11 SSV17 VPL23 VPT27 YNR006W N2038	622	REGION 236..260;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 317..348;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 462..622;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40080	VPS4-associated protein 1	VFA1 YER128W SYGP-ORF44	203	REGION 99..125;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 171..193;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40514	Uncharacterized protein YIL067C	YIL067C	678	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38893	Uncharacterized isomerase YHR210C (EC 5.-.-.-)	YHR210C	341	
Q06640	F-box protein YDR306C	YDR306C	478	REGION 1..32;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 67..101;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05530	Glutaredoxin-like protein YDR286C	YDR286C	114	
Q03964	Transposon Ty1-DR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-DR2 YDR170W-A YD9395.02	440	REGION 1..75;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 137..174;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 350..440;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0C5N3	Uncharacterized protein YGL041W-A, mitochondrial	YGL041W-A	154	
P32386	ATP-dependent bile acid permease	YBT1 BAT1 YLL048C	1661	REGION 445..468;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25620	Uncharacterized protein YCR022C	YCR022C YCR22C	114	
Q08504	Uncharacterized protein YOR105W	YOR105W O3217	108	
Q12243	Uncharacterized protein YOR029W	YOR029W O2663 OR26.19 YOL303.13	111	
P0C5R4	Uncharacterized protein YOL083C-A	YOL083C-A	46	
Q3E805	Uncharacterized protein YOR376W-A	YOR376W-A	51	
Q12088	Transposon Ty1-LR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-LR1 YLRCTy1-1 POL YLR035C-A L1807	1755	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..173;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..421;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 583..640;  /note="Integrase-type zinc finger-like"; REGION 956..1170;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q86ZR7	Uncharacterized hydrolase YKL033W-A (EC 3.-.-.-)	YKL033W-A	236	
P34251	Uncharacterized oxidoreductase YKL107W (EC 1.-.-.-)	YKL107W YKL462	309	
P53932	Uncharacterized transporter YNL095C	YNL095C N2215	642	REGION 183..206;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 227..324;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX72	Transposon Ty1-LR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-LR2 YLRCTy1-2 GAG YLR157C-A L9632.7	440	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..174;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..440;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02873	UPF0651 protein YPL107W, mitochondrial	YPL107W	248	
P0CX17	Putative uncharacterized protein YLR464W	YLR464W	216	
P53303	Zinc finger protein ZPR1	ZPR1 YGR211W	486	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53633	Prenylated Rab acceptor 1	YIP3 PRA1 YNL044W N2650	176	
P47079	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	CCT8 YJL008C J1374	568	
P47988	TY1 enhancer activator	TEA1 YOR337W O6257	759	REGION 1..61;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 229..254;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53738	Multifunctional methyltransferase subunit TRM112 (eRF1 methyltransferase subunit TRM112) (eRF1 MTase subunit TRM112) (tRNA methyltransferase 112)	TRM112 YNR046W N3445	135	
P32830	Mitochondrial import inner membrane translocase subunit TIM12 (Mitochondrial regulator of splicing 5)	TIM12 MRS5 YBR091C YBR0812	109	
P33448	Mitochondrial import receptor subunit TOM6 (Mitochondrial import site protein ISP6) (Translocase of outer membrane 6 kDa subunit)	TOM6 ISP6 YOR045W	61	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12059	NEDD8-activating enzyme E1 regulatory subunit (E1 N-terminus-related protein 2) (Ubiquitin-activating enzyme E1-like 1) (Ubiquitin-like activation protein 1)	ULA1 ENR2 YPL003W LPA14W	462	
P35127	Ubiquitin carboxyl-terminal hydrolase YUH1 (UCH) (EC 3.4.19.12) (Ubiquitin thioesterase)	YUH1 YJR099W J1941	236	REGION 10..15;  /note="Interaction with ubiquitin"; REGION 149..157;  /note="Interaction with ubiquitin"; REGION 219..228;  /note="Interaction with ubiquitin"
P23643	Vacuolar protein sorting-associated protein 3 (Vacuolar protein-targeting protein 17)	VPS3 VPT17 YDR495C D9719.1	1011	REGION 1..100;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P14680	Dual specificity protein kinase YAK1 (EC 2.7.12.1)	YAK1 YJL141C J0652	807	REGION 1..84;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 124..180;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 214..254;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 714..758;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53100	Putative 2-hydroxyacid dehydrogenase YGL185C (EC 1.-.-.-)	YGL185C G1380	379	
P0CX93	Uncharacterized protein YHR214C-D	YHR214C-D	97	
P0C2J7	Transposon Ty4-H Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-H YHLWTy4-1 POL YHL009W-B YHL008W-A	1802	REGION 381..501;  /note="Ty4 protease"; REGION 539..599;  /note="Integrase-type zinc finger-like"; REGION 1223..1248;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX62	Transposon Ty2-GR2 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	TY2A-GR2 YGRWTy2-2 GAG YGR161W-A G7015	438	REGION 1..86;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 295..397;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 366..397;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 419..438;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04033	Probable aminopeptidase YDR415C (EC 3.4.11.-)	YDR415C	374	
Q12141	Transposon Ty1-GR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-GR1 YGRWTy1-1 POL YGR027W-B G4054	1755	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..173;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..421;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 583..640;  /note="Integrase-type zinc finger-like"; REGION 956..1087;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1092..1111;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1130..1187;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47044	LOG family protein YJL055W	YJL055W J1148	245	
P39109	Metal resistance protein YCF1 (ABC-type Cd(2+) transporter) (EC 7.2.2.2) (ABC-type glutathione-S-conjugate transporter) (EC 7.6.2.3) (Yeast cadmium factor 1)	YCF1 YDR135C YD9302.11C	1515	
Q3E736	Uncharacterized protein YOR192C-C	YOR192C-C	78	
Q12113	Transposon Ty2-OR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY2B-OR1 YORCTy2-1 POL YOR192C-B O4785	1770	REGION 1..88;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 295..397;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 359..449;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 579..636;  /note="Integrase-type zinc finger-like"; REGION 916..935;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1005..1038;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1057..1205;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05863	Uncharacterized peptide chain release factor-like protein YLR281C, mitochondrial	YLR281C	155	REGION 111..155;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P34161	Homeobox protein YOX1	YOX1 YML027W	385	REGION 1..57;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 87..113;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 235..259;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 271..385;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36032	Probable transporter MCH2	MCH2 YKL221W	473	
P21965	Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase)	MCK1 YPK1 YNL307C N0392	375	
P24279	DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)	MCM3 YEL032W SYGP-ORF23	971	REGION 52..78;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 594..614;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 749..825;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 842..893;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39104	Phosphatidylinositol 4-kinase PIK1 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)	PIK1 YNL267W N0795	1066	REGION 218..240;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 303..411;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 564..624;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 776..782;  /note="G-loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 915..923;  /note="Catalytic loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 934..958;  /note="Activation loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"
Q12094	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S rRNA accumulation protein 3) (ScTsr3)	TSR3 YOR006C UND313	313	REGION 1..30;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 215..313;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q99344	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (RUB1-activating enzyme E1) (Ubiquitin-activating enzyme E1 3) (Ubiquitin-like protein-activating enzyme)	UBA3 YPR066W YP9499.21	299	
P0CX57	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-A YARCTy1-1 GAG YAR010C P9659.6d	440	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..173;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..440;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q07074	Uncharacterized protein YHR007C-A	YHR007C-A	71	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q3E758	Uncharacterized protein YHL048C-A	YHL048C-A	44	
P48569	Uncharacterized protein YDL183C	YDL183C D1293	320	
Q3E7X8	Y' element ATP-dependent helicase YEL077C (EC 3.6.4.12)	YEL077C	1277	REGION 696..763;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 775..895;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38740	Uncharacterized protein YHL026C	YHL026C	315	REGION 288..315;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40095	Uncharacterized protein YER158C	YER158C	573	REGION 1..33;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 60..101;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 102..121;  /note="10 X 2 AA tandem repeats of N-M"; REGION 150..174;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 192..271;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 286..317;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 357..379;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 441..483;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04408	Uncharacterized protein YDR514C	YDR514C	483	
P47063	Uncharacterized protein YJL027C	YJL027C J1269	138	
Q7LHG5	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	TY3B-I YILWTy3-1 POL YIL082W-A	1498	REGION 470..490;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1132..1171;  /note="Integrase-type zinc finger-like"
Q3E806	Uncharacterized protein YOR316C-A	YOR316C-A	69	
P53723	UPF0674 endoplasmic reticulum membrane protein YNR021W	YNR021W N3216	404	REGION 369..404;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32843	Mitochondrial escape protein 2 (Protein RNA12)	YME2 PRP12 RNA12 YMR302C YM9952.04C	850	REGION 44..66;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 607..633;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12274	Uncharacterized protein YOR097C	YOR097C YOR3180c	175	
Q08974	Uncharacterized membrane protein YPL257W	YPL257W	193	REGION 1..21;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06070	Uncharacterized protein YLR407W	YLR407W	228	REGION 90..115;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47090	Uncharacterized endoplasmic reticulum membrane protein YJR015W	YJR015W J1448	510	REGION 38..76;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47075	Vacuolar transporter chaperone 4 (Phosphate metabolism protein 3)	VTC4 PHM3 YJL012C J1345	721	REGION 126..133;  /note="Important for inositol polyphosphate binding";  /evidence="ECO:0000305|PubMed:27080106"; REGION 489..512;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03631	Weak acid resistance protein 1	WAR1 YML076C	944	REGION 114..171;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 197..225;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q3E762	Putative uncharacterized protein YBR230W-A	YBR230W-A	66	
Q8TGK0	Putative uncharacterized protein YHR214C-E	YHR214C-E	99	
P53155	Uncharacterized protein YGL082W	YGL082W	381	REGION 331..381;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04210	Endoplasmic reticulum transmembrane protein 2	YET2 YMR040W YM9532.05	160	
Q12173	Transposon Ty3-G Gag polyprotein (Gag3) (Transposon Ty3-1 protein A) (TY3A) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p9 (NC) (NCp9) (p7)]	TY3A-G YGRWTy3-1 GAG YGR109W-A G5982	290	
P53216	Uncharacterized protein YGR025W	YGR025W	100	
