Entry	Gene.names	Protein.names
Q3E7Y5	YBL111C	Uncharacterized helicase-like protein YBL111C
P38220	YBR027C	Uncharacterized protein YBR027C
P38354	YBR285W	Putative uncharacterized protein YBR285W
Q07655	WHI4	Protein WHI4
P43590	YFR006W	Uncharacterized peptidase YFR006W (EC 3.4.-.-)
P40028	YEN1	Holliday junction resolvase YEN1 (EC 3.1.-.-)
P0C2J3	TY2B-LR1	Transposon Ty2-LR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P40076	YER121W	Uncharacterized protein YER121W
P53056	YGL260W	Putative UPF0377 protein YGL260W
P40572	YIR016W	Uncharacterized protein YIR016W
Q03494	TY2B-DR2	Transposon Ty2-DR2 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P40445	YIL166C	Uncharacterized transporter YIL166C
Q3E837	YJL052C-A	Uncharacterized protein YJL052C-A
P25361	YCR043C	Uncharacterized protein YCR043C
Q03695	YMR206W	Uncharacterized protein YMR206W
P40892	YJL218W	Putative acetyltransferase YJL218W (EC 2.3.1.-)
Q04867	YMR310C	Putative methyltransferase YMR310C (EC 2.1.1.-)
P48568	YDL186W	Uncharacterized protein YDL186W
P0CX75	TY1A-LR3	Transposon Ty1-LR3 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P0CY03	YLR156C-A	Uncharacterized protein YLR156C-A
P47062	YJL028W	Uncharacterized protein YJL028W
P40004	YEA4	UDP-N-acetylglucosamine transporter YEA4
P47043	ZAP1	Zinc-responsive transcriptional regulator ZAP1
P40152	YNL217W	Putative metallophosphoesterase YNL217W (EC 3.1.-.-)
P0CF19	YOL162W	Putative uncharacterized transporter YOL162W
P53061	ZIP2	Protein ZIP2 (Zipping up meiotic chromosomes protein 2)
Q06594	YPR195C	Uncharacterized protein YPR195C
Q99260	YPT6	GTP-binding protein YPT6
P0CX60	TY1A-PR2	Transposon Ty1-PR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q3E751	YPL119C-A	Uncharacterized protein YPL119C-A
Q12182	YOR342C	Uncharacterized protein YOR342C
P53719	YNR014W	Uncharacterized protein YNR014W
P32527	ZUO1	Zuotin (DnaJ-related protein ZUO1) (J protein ZUO1) (Heat shock protein 40 homolog ZUO1) (Ribosome-associated complex subunit ZUO1)
P46655	GUS1	Glutamate--tRNA ligase, cytoplasmic (EC 6.1.1.17) (Glutamyl-tRNA synthetase) ((c)ERS) (GluRS) (P85)
P38714	MSR1	Arginine--tRNA ligase, mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
P48527	MSY1	Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)
P47183	THI11	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI11 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 11) (Thiamine pyrimidine synthase)
P42883	THI12	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI12 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 12) (Thiamine pyrimidine synthase)
P33890	TIR2	Cold shock-induced protein TIR2 (Serine-rich protein 2) (TIP1-related protein 2)
P42938	TDA10	Probable ATP-dependent kinase TDA10 (EC 2.7.-.-) (Topoisomerase I damage affected protein 10)
P12612	TCP1	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)
Q12009	TRM8	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Transfer RNA methyltransferase 8) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
P38811	TRA1	Transcription-associated protein 1 (p400 kDa component of SAGA)
P53840	TOF1	Topoisomerase 1-associated factor 1
Q12000	TMA46	Translation machinery-associated protein 46 (DRG family-regulatory protein 1)
P00927	ILV1	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)
Q3E7C1	TFB5	General transcription and DNA repair factor IIH subunit TFB5 (TFIIH subunit TFB5) (RNA polymerase II transcription factor B subunit 5)
P41835	THI6	Thiamine biosynthetic bifunctional enzyme [Includes: Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase); Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (THZ kinase)]
P50078	TOS2	Protein TOS2 (Target of SBF 2)
Q08960	TYW1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wybutosine-synthesizing protein 1)
P38820	UBA4	Adenylyltransferase and sulfurtransferase UBA4 (Needs CLA4 to survive protein 3) (Ubiquitin-like protein activator 4) [Includes: Adenylyltransferase UBA4 (EC 2.7.7.-); Sulfurtransferase UBA4 (EC 2.8.1.-)]
Q12241	VAM3	Syntaxin VAM3 (Vacuolar morphogenesis protein 3)
Q06263	VTA1	Vacuolar protein sorting-associated protein VTA1 (VPS20-associated protein 1)
Q12206	WTM2	Transcriptional modulator WTM2
Q06385	VPS74	Vacuolar protein sorting-associated protein 74
Q8TGU7	YBR126W-A	Uncharacterized protein YBR126W-A
Q3E762	YBR230W-A	Putative uncharacterized protein YBR230W-A
P0C5N0	YFR010W-A	Uncharacterized protein YFR010W-A
Q8TGT7	YGR204C-A	Uncharacterized protein YGR204C-A
Q2V2P6	YGL194C-A	Uncharacterized protein YGL194C-A
Q3E771	YLR285C-A	Uncharacterized protein YLR285C-A
P50089	YGR237C	Uncharacterized protein YGR237C
P53231	YGR050C	Uncharacterized protein YGR050C
Q03102	YML131W	Uncharacterized membrane protein YML131W
P47107	YJR039W	Uncharacterized protein YJR039W
P40326	YGR269W	Uncharacterized protein YGR269W
P34251	YKL107W	Uncharacterized oxidoreductase YKL107W (EC 1.-.-.-)
P39989	YEL028W	Uncharacterized protein YEL028W
Q03049	YDR541C	Putative uncharacterized oxidoreductase YDR541C (EC 1.1.1.-)
P36138	YKR045C	Uncharacterized protein YKR045C
P0CX69	TY1A-MR2	Transposon Ty1-MR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P47139	YJR098C	Uncharacterized protein YJR098C
P36103	YKL023W	Uncharacterized protein YKL023W
P25606	YCR100C	Uncharacterized protein YCR100C
Q03434	TY1B-ML2	Transposon Ty1-ML2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P0CX70	TY1A-DR6	Transposon Ty1-DR6 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q07967	YLR030W	Putative uncharacterized protein YLR030W
P39542	YJL193W	Uncharacterized transporter YJL193W
Q03983	YDR179W-A	Uncharacterized protein YDR179W-A
P11747	TAF13	Transcription initiation factor TFIID subunit 13 (Function unknown 81 protein) (TAFII-19) (TAFII19) (TBP-associated factor 13) (TBP-associated factor 19 kDa)
Q12030	TAF10	Transcription initiation factor TFIID subunit 10 (TAFII-23) (TAFII23) (TAFII-25) (TAFII25) (TBP-associated factor 10) (TBP-associated factor 25 kDa) (p25)
P50105	TAF4	Transcription initiation factor TFIID subunit 4 (MPT-1) (TAF suppressor gene 2 protein) (TAFII-48) (TBP-associated factor 4) (TBP-associated factor 48 kDa)
Q08224	THI20	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)
Q08579	THI72	Thiamine transporter THI72
Q03290	TFB3	RNA polymerase II transcription factor B subunit 3 (RNA polymerase II transcription factor B 38 kDa subunit) (RNA polymerase II transcription factor B p38 subunit)
P43534	THI5	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI5 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 5) (Thiamine pyrimidine synthase)
Q06339	TFC6	Transcription factor tau 91 kDa subunit (TFIIIC 91 kDa subunit) (Transcription factor C subunit 6)
P47079	CCT8	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)
P42943	CCT7	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)
Q12199	TIP41	Type 2A phosphatase activator TIP41 (PP2A phosphatase activator TIP41) (TAP42-interacting protein 1)
P38987	TEM1	Protein TEM1
Q06417	TDA5	Uncharacterized oxidoreductase TDA5 (EC 1.-.-.-) (Topoisomerase I damage affected protein 5)
P06786	TOP2	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)
P46959	GCD14	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220) (General control non-derepressible protein 14) (Protein GCD14) (tRNA(m1A58)-methyltransferase subunit TRM61) (tRNA(m1A58)MTase subunit TRM61)
P23644	TOM40	Mitochondrial import receptor subunit TOM40 (Mitochondrial import site protein ISP42) (Translocase of outer membrane 40 kDa subunit)
P33448	TOM6	Mitochondrial import receptor subunit TOM6 (Mitochondrial import site protein ISP6) (Translocase of outer membrane 6 kDa subunit)
Q06672	TSR2	Pre-rRNA-processing protein TSR2 (20S rRNA accumulation protein 2)
P12887	UNG1	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
Q03714	USA1	U1 SNP1-associating protein 1
Q3E776	YBR255C-A	Uncharacterized protein YBR255C-A
P38235	YBR053C	Uncharacterized protein YBR053C
P53287	YGR151C	Uncharacterized protein YGR151C
P53845	YIF1	Protein transport protein YIF1 (YIP1-interacting factor 1)
Q3E7Z5	YIL002W-A	Uncharacterized protein YIL002W-A
P34249	YKL102C	Uncharacterized protein YKL102C
Q04471	YMR114C	Abasic site processing protein YMR114C (EC 3.4.-.-)
Q03795	YMR155W	Uncharacterized membrane protein YMR155W
Q12253	YLR046C	Uncharacterized membrane protein YLR046C
Q3E818	YDR194W-A	Uncharacterized protein YDR194W-A
Q07888	YLL067C	Y' element ATP-dependent helicase YLL067C (EC 3.6.4.12)
P0CX72	TY1A-LR2	Transposon Ty1-LR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q99231	TY1B-DR3	Transposon Ty1-DR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q12531	YPR015C	Zinc finger protein YPR015C
P46951	YPP1	Cargo-transport protein YPP1 (Alpha-synuclein protective protein 1)
Q08187	YOL029C	Uncharacterized protein YOL029C
Q06328	YPQ2	Probable vacuolar amino acid transporter YPQ2 (PQ-loop repeat-containing protein 2)
P31111	ZIP1	Synaptonemal complex protein ZIP1
Q02872	YPL108W	Uncharacterized protein YPL108W
Q12012	YOR289W	Uncharacterized protein YOR289W
Q08734	YOR268C	Uncharacterized protein YOR268C
P38298	YPC1	Alkaline ceramidase YPC1 (EC 3.5.1.-) (Acyl-CoA-independent ceramide synthase)
P53960	YNL040W	Putative alanyl-tRNA editing protein alaX (AlaX) (AlaXp) (AlaXp-II) (Alanyl-tRNA deacylase alaX)
P53878	YNL181W	Uncharacterized oxidoreductase YNL181W (EC 1.-.-.-)
Q04006	UPS3	Protein UPS3, mitochondrial (Genetic interactor of prohibitins protein 2) (Unprocessed MGM1 protein 3)
P40917	CIN5	AP-1-like transcription factor YAP4 (Chromosome instability protein 5) (Transcription activator CIN5)
Q3E781	YBR221W-A	Uncharacterized protein YBR221W-A
P38223	YBR032W	Uncharacterized protein YBR032W
Q8TGK6	YAL067W-A	Putative UPF0377 protein YAL067W-A
P0C5K9	YBL039C-A	Uncharacterized protein YBL039C-A
O13536	YHR139C-A	Uncharacterized protein YHR139C-A
P0CE98	YLR161W	Putative uncharacterized protein YLR161W
P38750	YHL008C	Uncharacterized transporter YHL008C
P32331	YMC1	Mitochondrial glycine transporter YMC1
Q04093	YDR444W	Putative lipase YDR444W (EC 3.1.-.-)
P43617	YFR045W	Uncharacterized mitochondrial carrier YFR045W
P32622	YEF1	ATP-NADH kinase YEF1 (EC 2.7.1.86)
Q6Q5X2	YDR034W-B	Cysteine-rich and transmembrane domain-containing protein YDR034W-B
P25637	YIH1	Protein IMPACT homolog
P36134	YKR041W	Uncharacterized protein YKR041W
Q03879	YMR122C	Uncharacterized protein YMR122C
Q3E737	YJL047C-A	Uncharacterized protein YJL047C-A
Q03508	YMR265C	Uncharacterized protein YMR265C
Q12088	TY1B-LR1	Transposon Ty1-LR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P0C2I2	TY1B-DR5	Transposon Ty1-DR5 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q07978	YLR031W	Putative uncharacterized protein YLR031W
P28320	YJU2	Splicing factor YJU2
Q02606	YPL014W	Uncharacterized protein YPL014W
P48559	YPT11	GTP-binding protein YPT11 (Rab GTPase YPT11)
Q12040	YOR283W	Broad-specificity phosphatase YOR283W (EC 3.1.3.-)
Q08743	YOR292C	Vacuolar membrane protein YOR292C
P53975	YNL019C	Uncharacterized membrane protein YNL019C
P0CD97	YER039C-A	Uncharacterized protein YER039C-A
P38280	YSW1	Spore-specific protein YSW1
Q3E830	YCR075W-A	Uncharacterized protein YCR075W-A
Q3E7Z8	YCR024C-B	Uncharacterized protein YCR024C-B
Q3E756	YBL029C-A	UPF0768 protein YBL029C-A
P38243	YBR071W	Uncharacterized protein YBR071W
P38317	YBR219C	Uncharacterized protein YBR219C
P39548	YAR028W	DUP240 protein YAR028W
P38318	YBR220C	Uncharacterized membrane protein YBR220C
I2HB52	YBR056W-A	Uncharacterized protein YBR056W-A
P38355	YBR287W	Uncharacterized transporter YBR287W
O13512	YAL064W-B	Uncharacterized membrane protein YAL064W-B
P0CY00	YLL066W-A	UPF0479 membrane protein YLL066W-A
Q12141	TY1B-GR1	Transposon Ty1-GR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q04408	YDR514C	Uncharacterized protein YDR514C
P87283	YDR274C	Uncharacterized protein YDR274C
P48238	YGR153W	Uncharacterized protein YGR153W
P0CT86	YJR107C-A	Uncharacterized protein YJR107C-A
P40524	YIL054W	Uncharacterized membrane protein YIL054W
P0C2I8	TY1A-LR4	Transposon Ty1-LR4 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q8TGN3	YJL077W-A	Uncharacterized protein YJL077W-A
Q03900	YDR132C	Uncharacterized protein YDR132C
Q3E7X8	YEL077C	Y' element ATP-dependent helicase YEL077C (EC 3.6.4.12)
P38799	YHR078W	Uncharacterized protein YHR078W
P0CX65	TY1A-DR5	Transposon Ty1-DR5 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q12392	TY2A-DR1	Transposon Ty2-DR1 Gag polyprotein (Transposon Ty2 protein A) (TY2A) (TYA) (Ty917 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
P36018	YPT52	GTP-binding protein YPT52
Q12346	YPR071W	Uncharacterized membrane protein YPR071W
P40517	YRB2	Ran-specific GTPase-activating protein 2 (Ran-binding protein 2) (RANBP2)
P0C2J0	TY1B-PR2	Transposon Ty1-PR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q12506	YOR314W	Uncharacterized protein YOR314W
P53857	YNL234W	Uncharacterized globin-like protein YNL234W
P0C2J1	TY1B-PR3	Transposon Ty1-PR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
O13585	YPR089W	Dilute domain-containing protein YPR089W
Q06116	YPR117W	Uncharacterized protein YPR117W
A0A0B7P3V8	TY4B-P	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P38079	YRO2	Protein YRO2
Q8TGR9	YPL152W-A	Uncharacterized protein YPL152W-A
Q08910	YOR387C	VEL1-related protein YOR387C
P03881	Q0255	Uncharacterized mitochondrial protein RF1
P38806	YNG2	Chromatin modification-related protein YNG2 (ESA1-associated factor 4) (ING1 homolog 2)
P22217	TRX1	Thioredoxin-1 (Thioredoxin I) (TR-I) (Thioredoxin-2)
P29509	TRR1	Thioredoxin reductase 1 (EC 1.8.1.9)
P25515	VMA3	V-type proton ATPase subunit c (V-ATPase subunit c) (Guanine nucleotide exchange factor 2) (V-ATPase 16 kDa proteolipid subunit 1) (Vacuolar proton pump c subunit)
P25565	YCL002C	Putative uncharacterized protein YCL002C
P39728	YAL037W	Uncharacterized protein YAL037W
P38202	YBL028C	UPF0642 protein YBL028C
Q3E741	YAL037C-A	Putative uncharacterized protein YAL037C-A
Q12222	YGK3	Glycogen synthase kinase-3 homolog YGK3 (EC 2.7.11.1)
Q3E825	YLR307C-A	Uncharacterized protein YLR307C-A
P43597	YFR016C	Uncharacterized protein YFR016C
Q3E838	YFR012W-A	Uncharacterized protein YFR012W-A
Q07451	YET3	Endoplasmic reticulum transmembrane protein 3
Q12173	TY3A-G	Transposon Ty3-G Gag polyprotein (Gag3) (Transposon Ty3-1 protein A) (TY3A) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p9 (NC) (NCp9) (p7)]
P53274	YGR126W	Uncharacterized protein YGR126W
P47023	TY4A-J	Transposon Ty4-J Gag polyprotein (TY4A) (Transposon Ty4 protein A)
P53329	YGR273C	Uncharacterized protein YGR273C
P38867	YHR177W	Uncharacterized protein YHR177W
Q12235	YCT1	High affinity cysteine transporter
Q3E842	YMR122W-A	Uncharacterized endoplasmic reticulum membrane protein YMR122W-A
Q02598	YIL014C-A	Uncharacterized protein YIL014C-A
P39992	YEL023C	Uncharacterized protein YEL023C
P39991	YEL025C	Uncharacterized protein YEL025C
P47048	YJL049W	Uncharacterized protein YJL049W
Q12026	YLR053C	Putative uncharacterized protein YLR053C
P54072	YLR152C	Uncharacterized transporter YLR152C
Q12185	YDR018C	Uncharacterized acyltransferase YDR018C (EC 2.3.-.-)
P0C0V2	YER188C-A	UPF0320 protein YER188C-A
Q3E7A0	YKL106C-A	Uncharacterized protein YKL106C-A
Q08157	YOL019W	Uncharacterized membrane protein YOL019W
Q12322	YOL114C	Putative uncharacterized protein YOL114C
Q06102	YTH1	mRNA 3'-end-processing protein YTH1 (Yeast 30 kDa homolog 1)
P0CX22	YRF1-8	Y' element ATP-dependent helicase protein 1 copy 8 (EC 3.6.4.12)
Q02961	YPL113C	Putative 2-hydroxyacid dehydrogenase YPL113C (EC 1.-.-.-)
P0C5R4	YOL083C-A	Uncharacterized protein YOL083C-A
Q02749	YPL068C	Uncharacterized protein YPL068C
Q99326	YOR338W	SWIRM domain-containing protein YOR338W
Q05947	UCC1	F-box protein UCC1 (Ubiquitination of citrate synthase in the glyoxylate cycle protein 1)
P21373	UTR1	NAD(+) kinase (EC 2.7.1.23) (Unknown transcript 1 protein)
P41807	VMA13	V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H)
P32630	UTR5	Protein UTR5 (Unknown transcript 5 protein)
Q06685	VIP1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24) (InsP6 and PP-IP5 kinase)
P22543	VPS34	Phosphatidylinositol 3-kinase VPS34 (PI3-kinase VPS34) (PI3K VPS34) (PtdIns-3-kinase VPS34) (EC 2.7.1.137) (Carboxypeptidase Y-deficient protein 15) (Vacuolar protein sorting-associated protein 34) (Vacuolar protein-targeting protein 29)
P40574	YAP5	AP-1-like transcription factor YAP5
Q8TGT9	YGR146C-A	Uncharacterized protein YGR146C-A
P53222	YGR035C	Uncharacterized protein YGR035C
P53229	YGR045C	Uncharacterized protein YGR045C
Q04898	YMR321C	Putative uncharacterized protein YMR321C
Q3E809	YML054C-A	Uncharacterized protein YML054C-A
P40503	YIL086C	Uncharacterized protein YIL086C
Q99296	YLR149C	Uncharacterized protein YLR149C
P0CX16	YEL076C-A	Putative uncharacterized protein YEL076C-A
Q12301	YDL180W	Uncharacterized membrane protein YDL180W
Q12298	YDR061W	Uncharacterized ABC transporter ATP-binding protein YDR061W
Q03482	YDR210W	Cysteine-rich and transmembrane domain-containing protein YDR210W
P47014	YJL132W	Uncharacterized protein YJL132W
P40097	YER181C	Uncharacterized protein YER181C, mitochondrial
P38864	YHR173C	Uncharacterized protein YHR173C
P34161	YOX1	Homeobox protein YOX1
P53584	YTP1	Protein YTP1
P18961	YPK2	Serine/threonine-protein kinase YPK2/YKR2 (EC 2.7.11.1)
Q92392	TY1A-OL	Transposon Ty1-OL Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q12113	TY2B-OR1	Transposon Ty2-OR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
Q08994	YPR203W	Putative uncharacterized protein YPR203W
Q3E804	YOR381W-A	Uncharacterized protein YOR381W-A
Q12042	YPL162C	Vacuolar membrane protein YPL162C
Q3E832	YOR072W-B	Uncharacterized protein YOR072W-B
P32793	YSC84	Protein YSC84 (LAS seventeen-binding protein 4) (LAS17-binding protein 4)
Q08984	YPL272C	Uncharacterized protein YPL272C
P53740	YNR048W	Probable phospholipid translocase non-catalytic subunit CRF1 (CDC50/ROS3 family protein 1) (CRF1)
P53947	YNL058C	Vacuolar membrane protein YNL058C
P38882	UTP9	U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)
P0C269	YBL100W-C	Uncharacterized protein YBL100W-C
Q12260	TY2A-B	Transposon Ty2-B Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) (A-438 protein) [Cleaved into: Capsid protein (CA); Gag-p4]
P25383	TY2A-C	Transposon Ty2-C Gag polyprotein (Transposon Ty2 protein A) (TY2A) (TYA) (Ty1-17 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
Q3E778	YBR196C-B	Uncharacterized protein YBR196C-B
P0CE97	YLR159W	Putative uncharacterized protein YLR159W
P0C2I4	TY1A-H	Transposon Ty1-H Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q3E7Z6	YHL015W-A	Uncharacterized protein YHL015W-A
Q07738	YDL241W	Uncharacterized protein YDL241W
P43578	YFL015C	Uncharacterized protein YFL015C
P28625	YIM1	Protein YIM1
P39978	YEL067C	Uncharacterized protein YEL067C
Q3E763	YDR246W-A	Uncharacterized protein YDR246W-A
Q3E7A3	YJL133C-A	Uncharacterized protein YJL133C-A
Q8TGS8	YMR105W-A	Uncharacterized protein YMR105W-A
P47172	YJR141W	Uncharacterized protein YJR141W
Q02209	YKR011C	Uncharacterized protein YKR011C
Q12472	TY2B-DR1	Transposon Ty2-DR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) (Transposon Ty917 protein A) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
